Title_Marathi,Title_English,Author_Marathi,Author_English,Length,Number of Acts,Genre,First Performance Year,Submitted By,Male Characters,Female Characters,Pages,Property,Year of Writing,Availability,YouTube,Certified By,Length (in minutes)
मनोज मित्र,मनोज मित्र,सुरेंद वर्मा,सुरेंद वर्मा,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
Hindi शेक्सपियर ,Hindi शेक्सपियर ,रंगेय राघव,रंगेय राघव,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
किंग लियर भाषांतर,किंग लियर भाषांतर,विंदा करंदीकर,विंदा करंदीकर,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
दोन स्पेशल ,दोन स्पेशल ,क्षितिज पटवर्धन ,क्षितिज पटवर्धन ,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
३५ नेपियन्सी रोड,३५ नेपियन्सी रोड,क्षितिज पटवर्धन ,क्षितिज पटवर्धन ,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
केसाळ काळभोर पिल्लू ,केसाळ काळभोर पिल्लू ,दिलीप पुरुषोत्तम चित्रे,दिलीप पुरुषोत्तम चित्रे,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
कुलवृत्तांत ,कुलवृत्तांत ,दंडवते,दंडवते,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
,,बेर्नाड ब्रेखत ,बेर्नाड ब्रेखत ,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
वश्या बाब्या आणि सासू ,वश्या बाब्या आणि सासू ,अंबर हडप ,अंबर हडप ,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
अर्ज मोठा नामी ,अर्ज मोठा नामी ,अंबर हडप ,अंबर हडप ,,,,2024.0,Vijay Kenkare,0,0,0,,0,,,,
Adalay ka?,Adalay ka?,Atul Pethe,Atul Pethe,,,,2024.0,Mahesh Elkunchwar,0,0,0,,0,,,,
x,y,z,w,1.0,1.0,Drama; Sci-Fi; Other,1500.0,,0,0,0,Minimal,1500,,,a,1.0
x,y,z,w,1.0,1.0,Drama; Sci-Fi; Other,1500.0,,0,0,0,Minimal,1500,,,a,1.0
l,m,n,o,1.0,1.5,Drama,1500.0,,0,0,0,Unknown,1500,,,nakat,
